,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,17,15,15,14,15,14,14,16,17,18,22,21,24,26,27,30,32,32,35,39,39,40,43,45,46
10,22,20,19,18,19,17,17,17,20,21,22,23,25,27,30,31,36,36,37,38,39,41,42,43,45
20,24,23,20,20,18,17,15,15,18,19,21,21,23,26,27,29,31,31,32,35,36,38,39,42,44
30,28,24,25,22,20,20,18,16,16,16,18,17,22,24,26,28,30,30,31,32,33,36,37,38,41
39,29,27,29,26,24,22,23,20,17,18,19,21,20,20,24,24,26,30,28,32,34,32,37,38,42
40,30,27,27,25,24,21,21,20,19,18,18,17,18,21,22,25,25,27,29,31,33,34,37,37,38
41,30,29,26,26,24,22,22,21,19,17,22,18,19,22,23,25,27,26,27,31,31,33,35,36,38
42,30,29,26,25,24,22,22,19,19,16,16,19,19,19,23,24,25,25,29,30,30,33,36,36,40
43,30,28,28,26,24,24,20,22,19,18,19,17,19,19,22,24,24,26,29,31,31,31,34,34,39
44,26,24,21,21,17,19,17,17,18,20,21,24,24,25,28,28,32,32,34,35,39,40,41,42,44
50,28,26,24,25,22,20,18,18,19,20,21,21,21,26,28,28,29,32,33,34,36,37,38,42,42
60,31,30,29,26,23,23,22,21,19,18,21,19,20,21,26,23,26,27,35,32,33,37,36,36,41
70,36,33,33,29,28,25,24,24,22,21,18,19,19,21,21,22,23,24,28,29,30,32,35,35,37
75,40,35,33,31,33,32,29,26,25,25,24,22,20,20,20,23,22,24,25,28,29,32,33,35,38
79,37,39,36,35,33,33,32,29,29,29,26,27,29,23,24,21,23,23,25,28,29,29,30,32,35
