Time [s],Read Data
0.682049500,1
0.682050062,0
0.682051500,1
0.682052000,0
0.682053438,1
0.682054000,0
0.682055500,1
0.682056000,0
0.682058437,1
0.682059000,0
0.682062437,1
0.682063000,0
0.682065438,1
0.682066000,0
0.682069438,1
0.682069938,0
0.682072312,1
0.682072875,0
0.682074437,1
0.682074938,0
0.682078375,1
0.682078938,0
0.682081375,1
0.682081875,0
0.682085375,1
0.682085875,0
0.682088313,1
0.682088812,0
0.682090375,1
0.682090938,0
0.682094312,1
0.682094875,0
0.682097313,1
0.682097875,0
0.682101312,1
0.682101875,0
0.682104188,1
0.682104750,0
0.682106250,1
0.682106813,0
0.682108250,1
0.682108812,0
0.682110250,1
0.682110750,0
0.682112250,1
0.682112750,0
0.682114250,1
0.682114750,0
0.682116188,1
0.682116750,0
0.682118250,1
0.682118750,0
0.682121125,1
0.682121688,0
0.682123188,1
0.682123750,0
0.682125187,1
0.682125688,0
0.682127188,1
0.682127687,0
0.682129187,1
0.682129750,0
0.682132125,1
0.682132625,0
0.682134125,1
0.682134687,0
0.682136188,1
0.682136688,0
0.682139063,1
0.682139562,0
0.682141125,1
0.682141625,0
0.682143063,1
0.682143625,0
0.682145062,1
0.682145625,0
0.682147063,1
0.682147625,0
0.682149062,1
0.682149625,0
0.682151063,1
0.682151562,0
0.682153000,1
0.682153563,0
0.682155000,1
0.682155562,0
0.682157000,1
0.682157563,0
0.682159000,1
0.682159562,0
0.682161000,1
0.682161563,0
0.682163000,1
0.682163500,0
0.682165000,1
0.682165563,0
0.682168000,1
0.682168563,0
0.682170938,1
0.682171437,0
0.682172937,1
0.682173500,0
0.682174938,1
0.682175437,0
0.682176937,1
0.682177438,0
0.682178938,1
0.682179500,0
0.682181938,1
0.682182437,0
0.682185938,1
0.682186437,0
0.682188875,1
0.682189375,0
0.682191813,1
0.682192375,0
0.682193938,1
0.682194437,0
0.682197875,1
0.682198375,0
0.682199125,0
